user_id,events_count,unique_active_days,first_event_ts,last_event_ts,support_contacts_count,error_event_count,events_last_30d
0002-ORFBO,56,51,2023-02-10 05:39:48,2024-10-28 09:34:14,2,3,16
0003-MKNFE,65,63,2023-02-10 19:34:47,2025-01-13 18:46:13,0,5,21
0004-TLHLJ,27,26,2023-02-17 17:23:27,2024-12-09 19:02:28,1,1,7
0011-IGKFF,31,29,2023-03-13 15:42:47,2024-08-04 02:21:28,1,2,7
0013-EXCHZ,38,38,2023-01-06 20:47:02,2024-05-07 02:04:11,0,0,10
0013-MHZWF,57,51,2023-01-16 00:25:21,2024-09-29 02:41:37,2,2,23
0013-SMEOE,55,52,2023-01-13 21:12:28,2024-07-16 19:25:59,0,1,8
0014-BMAQU,54,52,2023-01-16 02:19:01,2024-06-22 14:33:02,1,1,17
0015-UOCOJ,60,57,2023-01-29 17:10:22,2024-12-08 16:16:18,2,2,15
0016-QLJIS,33,32,2023-03-17 23:18:23,2024-08-05 05:38:25,1,1,8
0017-DINOC,59,57,2023-01-08 20:38:52,2024-10-27 00:37:36,1,4,17
0017-IUDMW,32,32,2023-04-09 18:42:06,2024-10-07 16:13:17,1,0,13
0018-NYROU,37,36,2023-01-13 08:24:14,2024-07-10 20:06:52,1,0,8
0019-EFAEP,66,63,2023-02-06 00:39:30,2024-07-28 07:50:54,1,5,24
0019-GFNTW,29,29,2023-01-08 18:18:18,2024-12-04 17:03:40,1,1,6
0020-INWCK,58,56,2023-02-02 21:28:51,2024-10-21 13:27:25,1,3,17
0020-JDNXP,38,38,2023-03-04 11:10:23,2024-07-04 13:14:33,1,1,14
0021-IKXGC,136,121,2023-01-04 01:26:58,2024-09-23 06:34:13,2,5,46
0022-TCJCI,62,59,2023-01-07 00:23:38,2024-08-09 06:42:17,1,4,21
0023-HGHWL,31,30,2023-03-10 13:51:58,2024-06-02 04:31:28,0,0,9
0023-UYUPN,66,63,2023-02-17 19:05:52,2024-09-03 15:04:59,2,6,18
0023-XUOPT,43,41,2023-01-04 19:10:46,2025-01-10 09:56:08,0,1,11
0027-KWYKW,25,24,2023-03-17 11:15:47,2024-08-21 18:09:35,0,0,9
0030-FNXPP,72,64,2023-01-31 02:40:07,2024-11-05 07:46:00,2,6,18
0031-PVLZI,54,50,2023-01-02 11:21:00,2024-10-28 18:07:05,1,4,17
0032-PGELS,35,35,2023-01-09 18:44:24,2024-06-15 07:02:15,0,2,4
0036-IHMOT,54,51,2023-03-01 05:01:16,2024-10-30 07:32:50,1,2,20
0040-HALCW,59,55,2023-01-16 00:41:43,2024-08-10 19:20:17,0,1,19
0042-JVWOJ,30,29,2023-02-11 14:46:41,2024-06-30 08:48:13,1,0,7
0042-RLHYP,54,49,2023-02-01 21:07:25,2024-08-11 20:19:07,1,0,16
0048-LUMLS,72,67,2023-01-16 19:19:11,2024-12-11 00:21:11,0,6,29
0048-PIHNL,35,32,2023-01-01 05:42:53,2024-07-30 05:27:59,0,1,14
0052-DCKON,30,29,2023-02-14 11:49:05,2024-09-03 08:27:16,3,1,12
0052-YNYOT,30,30,2023-01-03 21:29:57,2024-12-13 16:36:28,1,1,8
0056-EPFBG,28,28,2023-03-05 16:33:39,2024-05-19 01:10:21,0,0,11
0057-QBUQH,30,30,2023-02-11 03:14:29,2024-10-15 18:51:42,0,1,7
0058-EVZWM,62,58,2023-01-08 21:58:24,2024-07-30 21:04:05,1,3,24
0060-FUALY,31,31,2023-02-04 00:02:18,2024-10-03 22:58:52,0,0,9
0064-SUDOG,35,35,2023-01-11 18:29:17,2024-10-14 20:32:16,0,2,9
0064-YIJGF,32,32,2023-03-10 20:12:59,2024-11-27 16:31:26,0,0,12
0067-DKWBL,130,110,2023-01-01 06:41:18,2024-11-12 01:58:24,1,6,47
0068-FIGTF,29,29,2023-03-06 13:12:09,2024-03-29 11:13:56,0,2,7
0071-NDAFP,28,27,2023-02-02 05:19:45,2024-04-15 02:49:17,0,0,8
0074-HDKDG,51,47,2023-02-16 08:19:17,2024-08-21 08:01:51,1,0,16
0076-LVEPS,27,27,2023-02-15 22:53:54,2024-07-16 07:27:50,0,0,8
0078-XZMHT,153,131,2023-01-09 04:13:59,2024-09-10 10:05:33,3,8,40
0080-EMYVY,34,32,2023-01-09 13:59:50,2024-08-26 20:22:07,2,1,10
0080-OROZO,48,44,2023-01-31 11:53:58,2024-09-09 19:38:03,0,1,13
0082-LDZUE,34,34,2023-02-16 17:21:19,2025-01-05 08:02:08,1,0,12
0082-OQIQY,33,31,2023-02-19 18:41:43,2024-11-12 09:32:54,0,2,10
0083-PIVIK,39,38,2023-03-06 23:55:54,2024-12-08 15:31:42,2,2,12
0089-IIQKO,35,34,2023-01-24 16:19:10,2024-03-23 00:19:31,1,3,6
0093-EXYQL,54,53,2023-01-27 10:31:06,2024-09-09 20:15:09,0,1,17
0093-XWZFY,35,34,2023-01-07 08:20:14,2024-08-10 03:32:58,0,3,8
0094-OIFMO,173,145,2023-01-02 11:40:04,2024-09-01 15:53:31,4,6,38
0096-BXERS,29,28,2023-05-04 15:23:57,2024-11-12 10:13:47,0,3,10
0096-FCPUF,56,54,2023-01-21 04:48:13,2024-10-16 18:09:01,0,3,15
0098-BOWSO,65,59,2023-02-03 03:17:02,2024-12-27 08:04:40,2,4,19
0100-DUVFC,48,45,2023-03-31 21:59:37,2024-09-30 11:09:44,1,1,13
0103-CSITQ,22,22,2023-01-26 23:17:56,2024-09-14 05:52:08,1,0,6
0104-PPXDV,139,119,2023-01-03 07:55:41,2025-01-21 21:51:48,5,4,43
