user_id,segment,signup_date,active_months,active_month_offsets,churned,churn_date
1,medium,2023-01-01,7,0|1|2|3|4|5|6,True,2023-08-01
2,low,2023-06-01,3,0|1|2,True,2023-09-01
3,low,2023-06-01,1,0,True,2023-07-01
4,medium,2023-02-01,9,0|1|2|3|4|5|6|7|8,True,2023-11-01
5,high,2023-06-01,9,0|1|2|3|4|5|6|7|8,True,2024-03-01
6,high,2023-09-01,12,0|1|2|3|4|5|6|7|8|9|10|11,True,2024-09-01
7,high,2023-03-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-04-01
8,medium,2023-05-01,6,0|1|2|3|4|5,True,2023-11-01
9,low,2023-09-01,2,0|1,True,2023-11-01
10,medium,2023-09-01,6,0|1|2|3|4|5,True,2024-03-01
11,medium,2023-02-01,2,0|1,True,2023-04-01
12,medium,2023-02-01,8,0|1|2|3|4|5|6|7,True,2023-10-01
13,high,2023-04-01,14,0|1|2|3|4|5|6|7|8|9|10|11|12|13,True,2024-06-01
14,low,2023-03-01,5,0|1|2|3|4,True,2023-08-01
15,low,2023-05-01,2,0|1,True,2023-07-01
16,low,2023-01-01,3,0|1|2,True,2023-04-01
17,low,2023-08-01,4,0|1|2|3,True,2023-12-01
18,medium,2023-02-01,5,0|1|2|3|4,True,2023-07-01
19,low,2023-06-01,1,0,True,2023-07-01
20,medium,2023-01-01,9,0|1|2|3|4|5|6|7|8,True,2023-10-01
21,medium,2023-06-01,6,0|1|2|3|4|5,True,2023-12-01
22,medium,2023-07-01,2,0|1,True,2023-09-01
23,medium,2023-03-01,3,0|1|2,True,2023-06-01
24,low,2023-02-01,1,0,True,2023-03-01
25,high,2023-06-01,6,0|1|2|3|4|5,True,2023-12-01
26,high,2023-08-01,17,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,True,2025-01-01
27,low,2023-08-01,3,0|1|2,True,2023-11-01
28,high,2023-09-01,9,0|1|2|3|4|5|6|7|8,True,2024-06-01
29,low,2023-03-01,2,0|7,True,2023-11-01
30,medium,2023-04-01,8,0|1|2|3|4|5|6|7,True,2023-12-01
31,high,2023-09-01,15,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16,True,2025-02-01
32,medium,2023-02-01,6,0|1|2|3|4|5,True,2023-08-01
33,medium,2023-02-01,7,0|1|2|3|4|5|6,True,2023-09-01
34,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
35,medium,2023-01-01,2,0|1,True,2023-03-01
36,low,2023-05-01,3,0|1|2,True,2023-08-01
37,high,2023-04-01,12,0|1|2|3|4|5|6|7|8|9|10|11,True,2024-04-01
38,medium,2023-06-01,2,0|1,True,2023-08-01
39,medium,2023-05-01,3,0|1|2,True,2023-08-01
40,medium,2023-01-01,3,0|1|2,True,2023-04-01
41,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
42,low,2023-09-01,4,0|1|2|3,True,2024-01-01
43,high,2023-08-01,17,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,True,2025-01-01
44,medium,2023-01-01,7,0|1|2|3|4|5|6,True,2023-08-01
45,medium,2023-09-01,10,0|1|2|3|4|5|6|7|8|9,True,2024-07-01
46,low,2023-05-01,2,0|1,True,2023-07-01
47,high,2023-08-01,14,0|1|2|3|4|5|6|7|8|9|10|11|12|13,True,2024-10-01
48,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
49,medium,2023-06-01,2,0|1,True,2023-08-01
50,medium,2023-07-01,7,0|1|2|3|4|5|6,True,2024-02-01
51,low,2023-08-01,1,0,True,2023-09-01
52,medium,2023-04-01,6,0|1|2|3|4|5,True,2023-10-01
53,medium,2023-09-01,2,0|1,True,2023-11-01
54,high,2023-08-01,10,0|1|2|3|4|5|6|7|8|9,True,2024-06-01
55,low,2023-09-01,2,0|1,True,2023-11-01
56,medium,2023-02-01,8,0|1|2|3|4|5|6|7,True,2023-10-01
57,low,2023-08-01,4,0|1|2|3,True,2023-12-01
58,high,2023-04-01,13,0|1|2|3|4|5|6|7|8|9|10|11|12,True,2024-05-01
59,medium,2023-06-01,6,0|1|2|3|4|5,True,2023-12-01
60,medium,2023-04-01,7,0|1|2|3|4|5|6,True,2023-11-01
61,high,2023-07-01,16,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,True,2024-11-01
62,low,2023-09-01,1,0,True,2023-10-01
63,medium,2023-05-01,8,0|1|2|3|4|5|6|7,True,2024-01-01
64,medium,2023-02-01,6,0|1|2|3|4|5,True,2023-08-01
65,low,2023-03-01,3,0|1|2,True,2023-06-01
66,low,2023-05-01,1,0,True,2023-06-01
67,medium,2023-08-01,6,0|1|2|3|4|5,True,2024-02-01
68,medium,2023-02-01,5,0|1|2|3|4,True,2023-07-01
69,medium,2023-07-01,5,0|1|2|3|4,True,2023-12-01
70,low,2023-05-01,1,0,True,2023-06-01
71,low,2023-06-01,2,0|1,True,2023-08-01
72,low,2023-01-01,2,0|1,True,2023-03-01
73,medium,2023-02-01,8,0|1|2|3|4|5|6|7,True,2023-10-01
74,medium,2023-02-01,8,0|1|2|3|4|5|6|7,True,2023-10-01
75,medium,2023-09-01,2,0|1,True,2023-11-01
76,high,2023-08-01,11,0|1|2|3|4|5|6|7|8|9|10,True,2024-07-01
77,low,2023-08-01,2,0|1,True,2023-10-01
78,high,2023-03-01,9,0|1|2|3|4|5|6|7|8,True,2023-12-01
79,high,2023-05-01,16,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,True,2024-09-01
